CGQ,Changchun Longjia International Airport,China,125.685303,43.996208,706
CGR,Campo Grande International Airport,Brazil,-54.672501,-20.468599,1833
CGY,Cagayan de Oro Lumbia Airport,Philippines,124.611198,8.415619,601
CHA,Chattanooga Metropolitan Airport,United States,-85.203499,35.035191,682
CHC,Christchurch International Airport,New Zealand,172.534393,-43.489399,123
CHO,Charlottesville Albemarle Airport,United States,-78.452858,38.138638,639
CHQ,Chania International Airport,Greece,24.149670,35.531738,490
CHS,Charleston International Airport,United States,-80.040497,32.898628,46
CIA,Rome Ciampino Airport,Italy,12.594930,41.799358,427
CID,Cedar Rapids Eastern Iowa Airport,United States,-91.710701,41.884682,869
CIT,Shymkent International Airport,Kazakhstan,69.478882,42.364159,1385
CIY,Comiso Airport,Italy,14.600000,36.990002,620
CJB,Coimbatore International Airport,India,77.043381,11.030030,1324
CJC,Calama El Loa Airport,Chile,-68.903503,-22.498100,7543
CJJ,Cheongju International Airport,South Korea,127.499100,36.716599,191
CJS,Ciudad Juarez International Airport,Mexico,-106.428001,31.636129,3904
CJU,Jeju International Airport,South Korea,126.492996,33.511299,118
CKG,Chongqing Jiangbei International Airport,China,106.641602,29.719210,1365
CKY,Conakry International Airport,Guinea,-13.611900,9.576889,72
CLE,Cleveland Hopkins International Airport,United States,-81.853897,41.410252,799
CLJ,Cluj-Napoca International Airport,Romania,23.686110,46.785091,1035
CLL,College Station Easterwood Airport,United States,-96.363800,30.588579,320
CLO,Cali Alfonso Bonilla Aragon International Airport,Colombia,-76.381599,3.543056,3162
CLT,Charlotte Douglas International Airport,United States,-80.943100,35.214001,748
CLY,Calvi Sainte-Catherine Airport,France,8.793028,42.520359,209
CMB,Colombo Bandaranaike International Airport,Sri Lanka,79.884109,7.180756,30
CMF,Chambery Airport,France,5.880000,45.639160,779
CMH,Port Columbus International Airport,United States,-82.891800,39.997971,814
CMN,Casablanca Mohammed V International Airport,Morocco,-7.589960,33.367458,656
CND,Constanta International Airport,Romania,28.488331,44.362221,353
CNF,Belo Horizonte Tancredo Neves International Airport,Brazil,-43.968800,-19.633699,2715
CNS,Cairns Airport,Australia,145.755203,-16.885799,10
CNX,Chiang Mai International Airport,Thailand,98.962639,18.766840,1036
COK,Cochin International Airport,India,76.401901,10.151990,30
COO,Cotonou Cadjehoun Airport,Benin,2.384353,6.357228,19
COR,Cordoba International Airport,Argentina,-64.207901,-31.323601,1604
COS,Colorado Springs Airport,United States,-104.699997,38.805801,6187
CPH,Copenhagen Airport,Denmark,12.655970,55.617908,17
CPT,Cape Town International Airport,South Africa,18.601660,-33.964802,151
CPV,Campina Grande Airport,Brazil,-35.896301,-7.269910,1646
CRA,Craiova Airport,Romania,23.888611,44.318130,626
CRK,Angeles City Clark International Airport,Philippines,120.560303,15.185980,484
CRL,Brussels South Charleroi Airport,Belgium,4.452778,50.459999,614
CRP,Corpus Christi International Airport,United States,-97.501198,27.770361,44
CRV,Crotone Airport,Italy,17.080160,38.997219,521
CRW,Charleston Yeager Airport,United States,-81.593102,38.373138,981
CSO,Magdeburg Cochstedt Airport,Germany,11.418333,51.855831,596
CSX,Changsha Huanghua International Airport,China,112.957199,28.069160,151
CSY,Cheboksary Airport,Russia,47.340000,56.090000,560
CTA,Catania Fontanarossa Airport,Italy,15.066400,37.466782,39
CTG,Cartagena Rafael Nunez International Airport,Colombia,-75.512703,10.442500,4
CTS,Sapporo New Chitose Airport,Japan,141.692200,42.775200,82
CTU,Chengdu Shuangliu International Airport,China,103.946999,30.578520,1625
CUE,Cuenca Mariscal Lamar International Airport,Ecuador,-78.984299,-2.889460,8306
CUF,Turin Cuneo Levaldigi Airport,Italy,7.623217,44.547009,1267
CUL,Culiacan International Airport,Mexico,-107.473999,24.764540,108
CUN,Cancun International Airport,Mexico,-86.876999,21.036520,20
CUR,Willemstad Curacao Hato International Airport,Curacao,-68.959801,12.188850,29
CUU,Chihuahua International Airport,Mexico,-105.963997,28.702869,4462
CUZ,Cusco Alejandro Velasco Astete International Airport,Peru,-71.938698,-13.535700,10860
CVG,Cincinnati Northern Kentucky International Airport,United States,-84.667801,39.048828,896
CVM,Ciudad Victoria International Airport,Mexico,-98.956398,23.703329,761
CWA,Wausau Central Wisconsin Airport,United States,-89.666702,44.777611,1277
CWB,Curitiba Afonso Pena International Airport,Brazil,-49.175701,-25.528400,2988
CWL,Cardiff Airport,United Kingdom,-3.343330,51.396660,220
CXI,Kiritimati Cassidy International Airport,Kiribati,-157.348999,1.986161,5
CXR,Nha Trang Cam Ranh International Airport,Vietnam,109.224998,11.993611,40
CYO,Cayo Largo del Sur Vilo Acuna Airport,Cuba,-81.545898,21.616449,10
CZL,Constantine Mohamed Boudiaf International Airport,Algeria,6.620386,36.276020,2316
CZM,Cozumel International Airport,Mexico,-86.925598,20.522400,15
